salary,city,companyShortName,district,companyId,jobNature,industryField,createTime,firstType,secondType,positionAdvantage,positionName,education,companyFullName,companyLabelList,companySize
16k-22k,深圳,明源云,南山区,5580,全职,"移动互联网,企业服务",2018-07-12 09:39:22,开发/测试/运维类,后端开发,技术导向，牛人多，氛围赞，扁平管理,高级Python开发工程师,本科,深圳市明源云客电子商务有限公司,"高额六险一金, 年底双薪, 绩效奖金, N项经费, ",2000人以上
15k-25k,深圳,高盈量化云科技（深圳）有限公司,南山区,238851,全职,金融,2018-07-11 17:14:47,开发/测试/运维类,后端开发,Pytho,Python开发工程师,本科,高盈量化云科技（深圳）有限公司,,50-150人
20k-25k,深圳,微思敦,南山区,47871,全职,"移动互联网,广告营销",2018-07-12 15:53:49,开发/测试/运维类,后端开发,"五险一金,周末双休,年终奖,出国游",高级Python开发工程师,本科,武汉微思敦网络技术有限公司,"五险一金, 绩效奖金, 交通补助, 通讯津贴, ",50-150人
10k-16k,深圳,杉岩数据,南山区,71639,全职,"企业服务,数据服务",2018-07-11 09:54:50,开发/测试/运维类,后端开发,"扁平化管理,发展空间大,产品有竞争,氛围融洽",Python开发工程师,本科,深圳市杉岩数据技术有限公司,"股票期权, 扁平管理, 领导好, 五险一金, ",50-150人
15k-25k,深圳,高盈量化云科技（深圳）有限公司,南山区,238851,全职,金融,2018-07-11 17:14:47,开发/测试/运维类,后端开发,Pytho,Python开发工程师,本科,高盈量化云科技（深圳）有限公司,,50-150人
16k-28k,深圳,乐格信息,福田区,7918,全职,"企业服务,数据服务",2018-07-12 17:37:53,开发/测试/运维类,后端开发,"精英团队,个人成长,外企文化,创业精神",Python高级开发工程师,本科,乐格商业咨询（深圳）有限公司,"节日礼物, 技能培训, 职业发展预期, 岗位晋升, ",150-500人
2k-4k,深圳,Gridsum 国双,福田区,3038,实习,"数据服务,企业服务",2018-07-12 10:22:06,开发/测试/运维类,后端开发,"发展空间大,牛人多,弹性工作制,福利好",Python实习工程师,本科,北京国双科技有限公司,"年度旅游, 节日礼物, 年底双薪, 带薪年假, ",500-2000人
8k-14k,深圳,大数点,南山区,59030,全职,移动互联网,2018-07-10 10:45:27,开发/测试/运维类,后端开发,"奢侈品奖励,年度旅游,提成奖金,最前沿方向",Python研发工程师,本科,深圳大数点科技有限公司,"技能培训, 节日礼物, 绩效奖金, 年度旅游, ",15-50人
22k-28k,深圳,鼎然信息科技,南山区,68890,全职,移动互联网,2018-07-09 16:49:36,开发/测试/运维类,后端开发,"双休,五险一金,弹性上下班,福利好",Python,本科,深圳鼎然信息科技有限公司,"节日礼物, 技能培训, 岗位晋升, 年度旅游, ",50-150人
15k-20k,深圳,万兴科技股份有限公司,南山区,1720,全职,移动互联网,2018-06-22 18:28:50,开发/测试/运维类,后端开发,"在线高并发,技术难度大,运维要求高",Python开发工程师,本科,万兴科技股份有限公司,"股票期权, 骨干配车, 创业平台, 餐饮补助, ",150-500人
8k-12k,深圳,米筐 (Ricequant),南山区,37669,全职,金融,2018-06-15 11:05:00,开发/测试/运维类,运维安全,"双休,带薪年假,有猫,不打卡",运维工程师/Python工程师,本科,深圳米筐科技有限公司,"技能培训, 股票期权, 带薪年假, 年度旅游, ",50-150人
15k-19k,深圳,YIDATEC,南山区,168557,全职,"移动互联网,游戏",2018-07-09 09:45:13,开发/测试/运维类,后端开发,"年度调薪,年度奖金,年度旅游,职位晋升",python工程师,本科,亿达信息技术（深圳）有限公司,,2000人以上
10k-16k,深圳,博悦科创,南山区,117217,全职,移动互联网,2018-06-29 11:38:21,开发/测试/运维类,后端开发,"五险一金,年底双薪,定期体检,员工旅游",Python,本科,深圳市博悦科创科技有限公司,"年底双薪, 定期体检, 绩效奖金, 技能培训, ",500-2000人
15k-28k,深圳,焰火,南山区,375935,全职,移动互联网,2018-07-02 10:03:22,开发/测试/运维类,后端开发,区块链,Python工程师,本科,深圳焰火移动互联网科技有限公司,""""", ",15-50人
7k-12k,深圳,编玩边学,南山区,110722,全职,"教育,游戏",2018-07-10 18:44:13,其他,教育|培训,"五险一金,餐饮补贴,节日福利,办公零食",课程设计师（python）,本科,深圳市编玩边学教育科技有限公司,"专项奖金, 股票期权, 绩效奖金, 午餐补助, ",150-500人
18k-35k,深圳,图途时代,南山区,199935,全职,"企业服务,广告营销",2018-07-09 13:35:59,开发/测试/运维类,后端开发,"弹性制,五险一金,团队旅游,年终奖",资深python开发工程师,本科,深圳市图途时代科技有限公司,"年底双薪, 绩效奖金, 年终分红, 股票期权, ",50-150人
15k-30k,深圳,土巴兔,南山区,384,全职,"移动互联网,O2O",2018-07-06 15:35:26,开发/测试/运维类,运维安全,"扁平管理,独角兽公司,晋升空间大",python开发工程师,本科,深圳市彬讯科技有限公司,"股票期权, 五险一金, 带薪年假, 节日礼物, ",2000人以上
10k-15k,深圳,木浪云,南山区,145652,全职,"企业服务,数据服务",2018-06-26 21:20:31,技术,后端开发,"与牛人共事,发展空间大,有原始期权",Python,本科,深圳市木浪云数据有限公司,"股票期权, 年终分红, 带薪年假, 绩效奖金, ",15-50人
10k-20k,深圳,云之家,南山区,98586,全职,"移动互联网,企业服务",2018-07-12 09:30:14,开发/测试/运维类,数据开发,"发展空间大,扁平化管理,精英团队,领导超好",Python开发工程师,本科,深圳云之家网络有限公司,"节日礼物, 股票期权, 带薪年假, 年度旅游, ",150-500人
15K-30K,深圳,速联科技,南山区,142794,全职,"电子商务,移动互联网",2018-07-09 20:37:20,开发/测试/运维类,软件开发,牛人团队，大平台，高挑战，福利好,高级python开发工程师,本科,速联（深圳）科技有限公司,,500-2000人
15k-30k,深圳,微基因 WeGene,福田区,54712,全职,"移动互联网,医疗健康",2018-07-10 17:56:38,开发/测试/运维类,后端开发,"弹性工作,工作氛围好,领导好,福利佳",Python 开发工程师,本科,深圳市早知道科技有限公司,"朝十晚六, 团队氛围好, 扁平管理, 五险一金, ",50-150人
8k-14k,深圳,北京瑞友,南山区,150030,全职,"移动互联网,电子商务",2018-07-09 15:10:54,开发/测试/运维类,后端开发,"周末双休,车补饭补,员工聚餐",Python开发工程师,本科,北京瑞友科技股份有限公司,,2000人以上
25k-35k,深圳,微商时代科技集团,南山区,114867,全职,"移动互联网,电子商务",2018-07-09 11:09:08,开发/测试/运维类,软件开发,"年终奖,氛围好,平台大",高级python开发工程师,本科,深圳市微商时代科技有限公司,"年底双薪, 专项奖金, 年终分红, 通讯津贴, ",500-2000人
